ratio,odd ratio,oddratio,lcb,ucb
42.76,1 (ref),,,
41.18,0.94 (0.61-1.44),0.94,0.61,1.44
,,,,
38.24,1 (ref),,,
48.82,1.54 (0.97-2.45),1.54,0.97,2.45
,,,,
48.84,1 (ref),,,
45.65,0.88 (0.43-1.82),0.88,0.43,1.82
42.55,0.78 (0.34-1.78),0.78,0.34,1.78
38.26,0.65 (0.32-1.32),0.65,0.32,1.32
,,,,
45.31,1 (ref),,,
44.44,0.97 (0.55-1.69),0.97,0.55,1.69
37.5,0.72 (0.42-1.26),0.72,0.42,1.26
,,,,
41.82,1 (ref),,,
44.55,1.12 (0.65-1.93),1.12,0.65,1.93
41.86,1.00 (0.57-1.77),1.00,0.57,1.77
,,,,
39.06,1 (ref),,,
47.2,1.39 (0.85-2.30),1.39,0.85,2.30
40.91,1.08 (0.54-2.17),1.08,0.54,2.17
,,,,
29.63,1 (ref),,,
39.5,1.55 (0.99-2.42),1.55,0.99,2.42
,,,,
30.59,1 (ref),,,
28.35,0.90 (0.54-1.49),0.90,0.54,1.49
,,,,
25.58,1 (ref),,,
26.09,1.03 (0.45-2.35),1.03,0.45,2.35
29.79,1.23 (0.49-3.12),1.23,0.49,3.12
33.91,1.49 (0.68-3.28),1.49,0.68,3.28
,,,,
35.16,1 (ref),,,
23.46,0.57 (0.30-1.06),0.57,0.30,1.06
27.27,0.69 (0.38-1.25),0.69,0.38,1.25
,,,,
32.73,1 (ref),,,
24.75,0.68 (0.37-1.23),0.68,0.37,1.23
31.4,0.94 (0.51-1.72),0.94,0.51,1.72
,,,,
35.94,1 (ref),,,
22.4,0.51 (0.30-0.90),0.51,0.30,0.90
31.82,0.83 (0.40-1.73),0.83,0.40,1.73
,,,,
20.88,1 (ref),,,
15.97,0.72 (0.41-1.27),0.72,0.41,1.27
,,,,
24.12,1 (ref),,,
16.54,0.62 (0.35-1.12),0.62,0.35,1.12
,,,,
16.28,1 (ref),,,
20.65,1.34 (0.52-3.48),1.34,0.52,3.48
21.28,1.39 (0.48-4.05),1.39,0.48,4.05
22.61,1.50 (0.60-3.77),1.50,0.60,3.77
,,,,
15.62,1 (ref),,,
23.46,1.65 (0.82-3.34),1.65,0.82,3.34
26.14,1.91 (0.97-3.75),1.91,0.97,3.75
,,,,
20.91,1 (ref),,,
20.79,0.99 (0.51-1.93),0.99,0.51,1.93
20.93,1.00 (0.50-2.00),1.00,0.50,2.00
,,,,
17.97,1 (ref),,,
21.6,1.26 (0.68-2.34),1.26,0.68,2.34
27.27,1.71 (0.77-3.82),1.71,0.77,3.82
,,,,
