Country,Count
US,26447
IN,4886
GB,4617
CA,788
AU,758
ZA,441
NG,332
PK,313
UA,293
PH,284
IE,283
ER,276
DE,250
FR,249
BD,202
JO,191
AE,180
BE,179
MY,173
CM,172
IT,171
NC,161
CN,158
KE,158
JP,152
NL,148
MV,128
ES,127
SG,125
TH,100
CH,98
UG,97
GH,91
NO,85
NZ,80
LK,72
ID,72
MU,68
GR,67
IL,64
BR,60
NP,56
FI,53
SA,53
BG,48
PT,47
TR,46
PL,46
AS,45
ZW,44
AT,42
IS,40
KR,39
DK,38
CR,37
SI,37
RU,37
TT,37
MA,37
MX,35
SE,35
CO,34
ST,34
AD,33
QA,32
IR,32
CL,31
CZ,30
LV,29
BS,29
AL,28
AR,28
MM,27
SO,25
CV,24
RW,24
MH,21
EG,20
VE,20
HK,20
PR,20
VN,19
AM,19
RO,19
TN,18
TO,17
BY,17
TW,17
BW,17
FJ,16
CY,16
BH,16
LU,16
NA,16
PG,15
AF,15
WF,15
RS,15
KW,15
KN,14
JE,14
AZ,14
TZ,14
OM,13
HR,13
RE,13
EE,13
MT,13
MW,13
IQ,12
SM,12
PA,12
EC,12
CI,12
SK,12
KH,11
BF,11
GA,10
ET,10
FO,10
MD,10
KZ,9
MK,9
NI,9
IM,9
BA,9
VC,9
BN,8
HN,8
DZ,8
SV,8
DO,8
SY,7
ZM,7
MZ,7
LS,7
LB,7
PS,7
DM,7
GG,7
BM,7
PE,7
BL,6
SB,6
UM,6
PW,6
KM,6
TL,6
MC,6
SL,6
BB,6
MR,5
YE,5
ME,5
GE,5
SS,5
KY,5
LR,5
SD,5
GI,5
TJ,5
JM,5
MN,4
AQ,4
PM,4
MP,4
BI,4
CU,4
GM,4
CG,4
VI,4
LY,4
UY,4
CK,4
SZ,4
SC,4
SN,4
HU,3
LC,3
GT,3
BT,3
TV,3
IO,3
GY,3
HT,3
TD,3
LT,3
NE,2
GN,2
KG,2
BO,2
AO,2
FK,2
YT,2
MQ,2
AG,2
GS,2
CF,2
XK,2
BJ,2
KI,2
BZ,2
KP,2
NU,1
PY,1
SH,1
VA,1
CW,1
CX,1
BV,1
CD,1
VU,1
ML,1
DJ,1
TC,1
GD,1
TG,1
MO,1
AI,1
CC,1
SX,1
EH,1
GQ,1
LA,1
